Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	À©Õ¹Ì××°Òþ²ØÊôÐÔ3	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	ÌØÊâ×°±¸±êÊ¶£¨¿É¶¨ÒåµÀ¾ßÃû³ÆÑÕÉ«£¬ºóÐøÀ©Õ¹£©
Th­¬ng Lang Tø T­îng Ph¸p §¸i	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Th­¬ng Lang(5)	1	99999	10	0	30	160	160	31	80	80																36	10	39	8	46	1							953	932	973	1015	1332	1292	148	89	5	1525									
Th­¬ng Lang Tø T­îng §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Th­¬ng Lang(6)	3	99999	10	0	30	720	720	31	90	90																36	10	39	8	46	1							953	852	973	1215	1234	1292	148	89	6										
Th­¬ng Lang Tø T­îng KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword22.spr	9	1	3	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Th­¬ng Lang(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	10	39	8	46	1							1056	892	1155	1175	1332	1292	148	89	7										
Th­¬ng Lang Tø T­îng Lý	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Th­¬ng Lang(8)	0	99999	10	0	30	160	160	31	80	80																36	10	39	8	46	1							953	872	973	1015	1255	1292	148	89	8	1526									
Th­¬ng Lang Tø T­îng Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist20.spr	36	1	2	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Th­¬ng Lang(9)	2	99999	10	0																						36	10	39	8	46	1							952	912	972	1195	1332	1292	148	89	9										
Th­¬ng Lang Tø T­îng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Vâ §ang quyÒn ph¸p cÊp Th­¬ng Lang(10)	1	99999	10	0																						36	10	39	8	46	1							952	932	972	1015	1332	1292	148	89	10										
Th­¬ng Lang ThÊt Tinh Phï	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Th­¬ng Lang(1)	0	99999	10	0																						36	10	39	8	46	1							952	852	973	1215	995	1292	149	90	1	1528									
Th­¬ng Lang ThÊt Tinh Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-3.spr	28	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Th­¬ng Lang(2)	2	99999	10	0	30	360	360	31	85	85																36	10	39	8	46	1							953	892	972	1175	1332	1292	149	90	2										
Th­¬ng Lang ThÊt Tinh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Th­¬ng Lang(3)	1	99999	10	0																						36	10	39	8	46	1							952	872	973	1015	1332	1292	149	90	3										
Th­¬ng Lang ThÊt Tinh Tô	0	8	1	\spr\item\equip\bangle\obj-bangle14.spr	34	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Th­¬ng Lang(4)	3	99999	10	0	30	135	135	31	80	80																36	10	39	8	46	1							953	912	972	1195	1332	1292	149	90	4										
Th­¬ng Lang ThÊt Tinh Ph¸p §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Th­¬ng Lang(5)	4	99999	10	0	30	160	160	31	80	80																36	10	39	8	46	1							953	932	973	1015	1332	1292	149	90	5	1529									
Th­¬ng Lang ThÊt Tinh §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Th­¬ng Lang(6)	0	99999	10	0	30	720	720	31	90	90																36	10	39	8	46	1							953	852	973	1215	1234	1292	149	90	6										
Th­¬ng Lang ThÊt Tinh KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Th­¬ng Lang(7)	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	10	39	8	46	1							1038	892	1075	1175	1317	1292	149	90	7										
Th­¬ng Lang ThÊt Tinh Lý	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Th­¬ng Lang(8)	1	99999	10	0	30	160	160	31	80	80																36	10	39	8	46	1							953	872	973	1015	1255	1292	149	90	8										
Th­¬ng Lang ThÊt Tinh Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Th­¬ng Lang(9)	3	99999	10	0																						36	10	39	8	46	1							952	912	972	1195	1332	1292	149	90	9	1530									
Th­¬ng Lang ThÊt Tinh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Vâ §ang kiÕm ph¸p cÊp Th­¬ng Lang(10)	4	99999	10	0																						36	10	39	8	46	1							952	932	972	1015	1332	1292	149	90	10										
Th­¬ng Lang Thiªn Thanh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Th­¬ng Lang(1)	0	99999	10	0																						36	10	39	9	46	1							952	852	973	1015	995	1292	150	91	1	1532									
Th­¬ng Lang Thiªn Thanh §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-3.spr	28	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Th­¬ng Lang(2)	2	99999	10	0	30	360	360	31	85	85																36	10	39	9	46	1							953	892	972	1195	1332	1292	150	91	2										
Th­¬ng Lang Thiªn Thanh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Th­¬ng Lang(3)	1	99999	10	0																						36	10	39	9	46	1							952	872	973	1015	1332	1292	150	91	3										
Th­¬ng Lang Thiªn Thanh Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Th­¬ng Lang(4)	3	99999	10	0	30	135	135	31	80	80																36	10	39	9	46	1							953	912	972	1215	1332	1292	150	91	4										
Th­¬ng Lang Thiªn Thanh Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Th­¬ng Lang(5)	4	99999	10	0	30	160	160	31	80	80																36	10	39	9	46	1							953	932	973	1175	1332	1292	150	91	5	1533									
Th­¬ng Lang Thiªn Thanh §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Th­¬ng Lang(6)	0	99999	10	0	30	720	720	31	90	90																36	10	39	9	46	1							953	852	973	1015	1234	1292	150	91	6										
Th­¬ng Lang Thiªn Thanh B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Th­¬ng Lang(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	10	39	9	46	1							1039	892	1075	1195	1317	1292	150	91	7										
Th­¬ng Lang Thiªn Thanh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Th­¬ng Lang(8)	1	99999	10	0	30	160	160	31	80	80																36	10	39	9	46	1							953	872	973	1015	1255	1292	150	91	8										
Th­¬ng Lang Thiªn Thanh Béi	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Th­¬ng Lang(9)	3	99999	10	0																						36	10	39	9	46	1							952	912	972	1215	1332	1292	150	91	9	1534									
Th­¬ng Lang Thiªn Thanh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Th­¬ng Lang(10)	4	99999	10	0																						36	10	39	9	46	1							952	932	972	1175	1332	1292	150	91	10										
Th­¬ng Lang Canh Phong Phï	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Th­¬ng Lang(1)	3	99999	10	0																						36	10	39	9	46	1							952	852	973	1015	995	1292	151	92	1	1536									
Th­¬ng Lang Canh Phong §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap05-3.spr	28	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Th­¬ng Lang(2)	4	99999	10	0	30	360	360	31	85	85																36	10	39	9	46	1							953	892	972	1195	1332	1292	151	92	2										
Th­¬ng Lang Canh Phong Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Th­¬ng Lang(3)	0	99999	10	0																						36	10	39	9	46	1							952	872	973	1015	1332	1292	151	92	3										
Th­¬ng Lang Canh Phong Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Th­¬ng Lang(4)	2	99999	10	0	30	135	135	31	80	80																36	10	39	9	46	1							953	912	972	1215	1332	1292	151	92	4										
Th­¬ng Lang Canh Phong Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Th­¬ng Lang(5)	1	99999	10	0	30	160	160	31	80	80																36	10	39	9	46	1							953	932	973	1175	1332	1292	151	92	5	1537									
Th­¬ng Lang Canh Phong §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Th­¬ng Lang(6)	3	99999	10	0	30	720	720	31	90	90																36	10	39	9	46	1							953	852	973	1015	1234	1292	151	92	6										
Th­¬ng Lang Canh Phong KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Th­¬ng Lang(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	10	39	9	46	1							1058	892	1155	1195	1332	1292	151	92	7										
Th­¬ng Lang Canh Phong Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Th­¬ng Lang(8)	0	99999	10	0	30	160	160	31	80	80																36	10	39	9	46	1							953	872	973	1015	1255	1292	151	92	8										
Th­¬ng Lang Canh Phong Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Th­¬ng Lang(9)	2	99999	10	0																						36	10	39	9	46	1							952	912	972	1215	1332	1292	151	92	9	1538									
Th­¬ng Lang Canh Phong H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Th­¬ng Lang(10)	1	99999	10	0																						36	10	39	9	46	1							952	932	972	1175	1332	1292	151	92	10										
HuyÒn Viªn TrÝ TuÖ Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(1)	2	99999	10	0																						36	10	39	0	46	1							953	933	974	1176	996	1293	152	93	1	1456	1273								
HuyÒn Viªn TrÝ TuÖ T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(2)	1	99999	10	0	30	360	360	31	85	85																36	10	39	0	46	1							954	853	973	1016	1333	1293	152	93	2	1426	1273								
HuyÒn Viªn TrÝ TuÖ Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(3)	3	99999	10	0																						36	10	39	0	46	1							953	893	974	1196	1333	1293	152	93	3	130									
HuyÒn Viªn TrÝ TuÖ Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(4)	4	99999	10	0	30	135	135	31	80	80																36	10	39	0	46	1							954	873	973	1016	1333	1293	152	93	4	1426	1273								
HuyÒn Viªn TrÝ TuÖ Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(5)	0	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							954	913	974	1216	1333	1293	152	93	5	1457	1273								
HuyÒn Viªn TrÝ TuÖ Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(6)	2	99999	10	0	30	720	720	31	90	90																36	10	39	0	46	1							954	933	974	1176	1236	1293	152	93	6	1426									
HuyÒn Viªn TrÝ TuÖ TriÒn Thñ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(7)	1	99999	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										36	10	39	0	46	1							1276	853	1076	1016	1333	1293	152	93	7	1426									
HuyÒn Viªn TrÝ TuÖ T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(8)	3	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							954	893	974	1196	1256	1293	152	93	8	1426	1273								
HuyÒn Viªn TrÝ TuÖ Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(9)	4	99999	10	0																						36	10	39	0	46	1							953	873	973	1016	1333	1293	152	93	9	1458	1273								
HuyÒn Viªn TrÝ TuÖ H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp HuyÒn Viªn(10)	0	99999	10	0																						36	10	39	0	46	1							953	913	973	1216	1333	1293	152	93	10	130									
HuyÒn Viªn Viªn M·n PhËt Ch©u	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(1)	4	99999	10	0																						36	10	39	0	46	1							953	933	974	1176	996	1293	153	94	1	1459	1273								
HuyÒn Viªn Viªn M·n T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(2)	0	99999	10	0	30	360	360	31	85	85																36	10	39	0	46	1							954	853	973	1016	1333	1293	153	94	2	1426	1273								
HuyÒn Viªn Viªn M·n Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(3)	2	99999	10	0																						36	10	39	0	46	1							953	893	974	1196	1333	1293	153	94	3	130									
HuyÒn Viªn Viªn M·n Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(4)	1	99999	10	0	30	135	135	31	80	80																36	10	39	0	46	1							954	873	973	1016	1333	1293	153	94	4	1426	1273								
HuyÒn Viªn Viªn M·n Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(5)	3	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							954	913	974	1216	1333	1293	153	94	5	1460	1273								
HuyÒn Viªn Viªn M·n Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(6)	4	99999	10	0	30	720	720	31	90	90																36	10	39	0	46	1							954	933	974	1176	1236	1293	153	94	6	1426	1273								
HuyÒn Viªn Viªn M·n T¨ng C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	10	39	0	46	1							1352	853	1076	1016	1333	1293	153	94	7	1426									
HuyÒn Viªn Viªn M·n T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(8)	2	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							954	893	974	1196	1256	1293	153	94	8	1426									
HuyÒn Viªn Viªn M·n Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(9)	1	99999	10	0																						36	10	39	0	46	1							953	873	973	1016	1333	1293	153	94	9	1461	1273								
HuyÒn Viªn Viªn M·n H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp HuyÒn Viªn(10)	3	99999	10	0																						36	10	39	0	46	1							953	913	973	1216	1333	1293	153	94	10	130									
HuyÒn Viªn PhËt T©m H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(1)	4	99999	10	0																						36	10	39	0	46	1							953	933	974	1176	996	1293	154	95	1	1459	1273								
HuyÒn Viªn PhËt T©m T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(2)	0	99999	10	0	30	360	360	31	85	85																36	10	39	0	46	1							954	853	973	1016	1333	1293	154	95	2	1426	1273								
HuyÒn Viªn PhËt T©m Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(3)	2	99999	10	0																						36	10	39	0	46	1							953	893	974	1196	1333	1293	154	95	3	130									
HuyÒn Viªn PhËt T©m Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(4)	1	99999	10	0	30	135	135	31	80	80																36	10	39	0	46	1							954	873	973	1016	1333	1293	154	95	4	1426									
HuyÒn Viªn PhËt T©m Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(5)	3	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							954	913	974	1216	1333	1293	154	95	5	1462	1273								
HuyÒn Viªn PhËt T©m Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(6)	4	99999	10	0	30	720	720	31	90	90																36	10	39	0	46	1							954	933	974	1176	1236	1293	154	95	6	1426	1273								
HuyÒn Viªn PhËt T©m Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	10	39	0	46	1							1352	853	1076	1016	1333	1293	154	95	7	1426									
HuyÒn Viªn PhËt T©m T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(8)	2	99999	10	0	30	160	160	31	80	80																36	10	39	0	46	1							954	893	974	1196	1256	1293	154	95	8	1426	1273								
HuyÒn Viªn PhËt T©m Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(9)	1	99999	10	0																						36	10	39	0	46	1							953	873	973	1016	1333	1293	154	95	9	1463	1273								
HuyÒn Viªn PhËt T©m H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp HuyÒn Viªn(10)	3	99999	10	0																						36	10	39	0	46	1							953	913	973	1216	1333	1293	154	95	10	130									
HuyÒn Viªn Xung Thiªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(1)	0	99999	10	0																						36	10	39	1	46	1							953	853	974	1016	996	1293	155	96	1	1464	1273								
HuyÒn Viªn Xung Thiªn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(2)	2	99999	10	0	30	360	360	31	85	85																36	10	39	1	46	1							954	893	973	1196	1333	1293	155	96	2	1436	1273								
HuyÒn Viªn Xung Thiªn Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(3)	1	99999	10	0																						36	10	39	1	46	1							953	873	974	1016	1333	1293	155	96	3	130									
HuyÒn Viªn Xung Thiªn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(4)	3	99999	10	0	30	135	135	31	80	80																36	10	39	1	46	1							954	913	973	1216	1333	1293	155	96	4	1436	1273								
HuyÒn Viªn Xung Thiªn Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(5)	4	99999	10	0	30	160	160	31	80	80																36	10	39	1	46	1							954	933	974	1176	1333	1293	155	96	5	1465	1273								
HuyÒn Viªn Xung Thiªn Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(6)	0	99999	10	0	30	720	720	31	90	90																36	10	39	1	46	1							954	853	974	1016	1236	1293	155	96	6	1436									
HuyÒn Viªn Xung Thiªn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(7)	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	10	39	1	46	1							1276	893	1076	1196	1318	1293	155	96	7	1436									
HuyÒn Viªn Xung Thiªn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(8)	1	99999	10	0	30	160	160	31	80	80																36	10	39	1	46	1							954	873	974	1016	1256	1293	155	96	8	1436	1273								
HuyÒn Viªn Xung Thiªn Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(9)	3	99999	10	0																						36	10	39	1	46	1							953	913	973	1216	1333	1293	155	96	9	1466	1273								
HuyÒn Viªn Xung Thiªn H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp HuyÒn Viªn(10)	4	99999	10	0																						36	10	39	1	46	1							953	933	973	1176	1333	1293	155	96	10	130									
HuyÒn Viªn Phi V©n H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp HuyÒn Viªn(1)	0	99999	10	0																						36	10	39	1	46	1							953	853	974	1016	996	1293	156	97	1	1468	1273								
