Status	ÎÄ¼şÃû	ÀàĞÍ	²¥·Å·½Ê½	Ö÷½ÇÉíºó¿ªÊ¼Ö¡	Ö÷½ÇÉíºó½áÊøÖ¡	¶¯»­×ÜÖ¡Êı	¶¯»­×Ü·½ÏòÊı	¶¯»­Ö¡¼ä¸ô	Í¼·Ö¼¸°ê	ËµÃ÷£ºÍ¼Ö»ÄÜ·Ö1¡¢2¡¢3°ê	x	x		
Status195	\spr\skill\others\jianxiazhizun.spr	Foot	Loop	0	0	15	1	60	1	Ô½ÄÏÁú»¢ËÎ½ğ¡°ÉíÊÖ²»·²¡±				
Status196	\spr\skill\others\dubutianxia.spr	Foot	Loop	0	0	15	1	60	1	Ô½ÄÏÁú»¢ËÎ½ğ¡°ÌìÏÂÎŞË«¡±				
Status197	\spr\vongsangjxsolo\vong16.spr	Foot	Loop	0	0	20	1	80	1	×øÆï				24
Status198	\spr\vongsangjxsolo\vong17.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏ°æÌìÏÂÎŞµĞ½±Àø¹â»Æ				25
Status199	\spr\vongsangjxsolo\vong18.spr	Foot	Loop	0	0	20	1	80	1	‘ğ¹â»·				26
Status200	\spr\vongsangjxsolo\vong19.spr	Foot	Loop	0	0	20	1	80	1	ÌìÏÂµÚÒ»°ï¹Ú¾ü				27
Status201	\spr\vongsangjxsolo\vong20.spr	Foot	Loop	0	0	20	1	80	1	ÌìÏÂµÚÒ»°ïÑÇ¾ü				28
Status202	\spr\vongsangjxsolo\vong21.spr	Foot	Loop	0	0	20	1	80	1	ÌìÏÂµÚÒ»°ï¼¾¾ü				29
Status203	\spr\vongsangjxsolo\vong22.spr	Foot	Loop	0	0	20	1	80	1	ºÚÉñ¹â»·				30
Status204	\spr\skill\´äÑÌ\mag_cy_08_±ùÇ½_b.spr	Foot	Loop	0	0	7	1	150	1	±ùÇ½Ğ§¹û				
Status205	\spr\vongsangjxsolo\vong23.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÒ»Ãû¡°¶À²½ÌìÏÂ¡±				31
Status206	\spr\vongsangjxsolo\vong24.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚ¶şÃû¡°ÍşÃÍÎŞË«¡±				32
Status207	\spr\vongsangjxsolo\vong25.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÈıÃû¡°Á¦Ñ¹ÈºĞÛ¡±				33
Status208	\spr\vongsangjxsolo\vong26.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚËÄÃû¡°ËÄ¾øÕ½³¡¡±				34
Status209	\spr\vongsangjxsolo\vong27.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÎåÃû¡°ËÄ¾øÕ½³¡¡±				35
Status210	\spr\vongsangjxsolo\vong28.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÁùÃû¡°ËÄ¾øÕ½³¡¡±				36
Status211	\spr\vongsangjxsolo\vong29.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÆßÃû¡°ËÄ¾øÕ½³¡¡±				37
Status212	\spr\vongsangnew\vong34.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚ°ËÃû¡°ËÄ¾øÕ½³¡¡±				38
Status213	\spr\vongsangnew\vong10.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚ¾ÅÃû¡°ËÄ¾øÕ½³¡¡±				39
Status214	\spr\vongsangnew\vong36.spr	Foot	Loop	0	0	20	1	80	1	Ô½ÄÏËÎ½ğÕ½³¡»ı·ÖÅÅÃûµÚÊ®Ãû¡°ËÄ¾øÕ½³¡¡±				40
Status215	\spr\vongsangnew\vong25.spr	Foot	Loop	0	0	20	1	80	1	‰ôÖ®ê ¹â»·				41
Status216	\spr\vongsangnew\vong1.spr	Foot	Loop	0	0	20	1	80	1	ËÎ½ğ»ı·ÖÅÅÃûµÚËÄ-Ê®Ãû				42
Status217	\spr\vongsangnew\vong9.spr	Foot	Loop	0	0	20	1	80	1	ËÎ½ğ»ı·ÖÅÅÃûµÚÈı				43
Status218	\spr\vongsangnew\vong23.spr	Foot	Loop	0	0	20	1	80	1	ËÎ½ğ»ı·ÖÅÅÃûµÚ¶ş				44
Status219	\spr\vongsangnew\vongcam.spr	Foot	Loop	0	0	20	1	80	1	ËÎ½ğ»ı·ÖÅÅÃûµÚÒ»				45
Status220	\spr\vongsangnew\vong33.spr	Foot	Loop	0	0	20	1	80	1	CTC³õ¼¶»áÔ±¿¨³ÆºÅÌØĞ§				46
Status221		Foot	Loop	0	0	11	1	50	1	ÑªÔ¡£¨Ô½ÄÏ£©				47
Status222		Foot	Loop	0	0	15	1	35	1	Õ½Ìì£¨Ô½ÄÏ£©				48
Status223		Foot	Loop	0	0	15	1	40	1	²Ôºè£¨Ô½ÄÏ£©				49
Status224		Foot	Loop	0	0	15	1	35	1	ÀÇê»£¨Ô½ÄÏ£©				50
Status225		Foot	Loop	0	0	15	1	35	1	Õ×ÃÍ£¨Ô½ÄÏ£©				51
Status226		Body	Loop	0	0	30	1	48	1	´«Ææ¹â»·£¨Ô½ÄÏ£©				52
Status227	\spr\quanham\nghiavu.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status228	\spr\quanham\binhnhi.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status229	\spr\quanham\binhnhat.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status230	\spr\quanham\hasi.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status231	\spr\quanham\trungsi.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status232	\spr\quanham\thuongsi.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status233	\spr\quanham\siquan.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status234	\spr\quanham\thieuuy.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status235	\spr\quanham\trunguy.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status236	\spr\quanham\thuonguy.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status237	\spr\quanham\daiuy.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status238	\spr\quanham\thieuta.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status239	\spr\quanham\trungta.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status240	\spr\quanham\thuongta.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status241	\spr\quanham\daita.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status242	\spr\quanham\thieutuong.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status243	\spr\quanham\trungtuong.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status244	\spr\quanham\thuongtuong.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status245	\spr\quanham\daituong.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status246	\spr\xephang\hang1.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status247	\spr\xephang\hang2.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status248	\spr\xephang\hang3.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status249	\spr\xephang\hang4.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status250	\spr\xephang\hang5.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status251	\spr\xephang\hang6.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status252	\spr\xephang\hang7.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status253	\spr\xephang\hang8.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status254	\spr\xephang\hang9.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status255	\spr\xephang\hang10.spr	Head		0	0	0	0	0	1	ºìÔÂ				
Status256	\spr\xephang\hang11.spr	Head		0	0	0	0	0	1	ºìÔÂ				
